filename,gt,pred,TP,FP,FN,avg_conf
background-cross-recessed-sheet-metal-screws-close-up-background-cylindrical-self-threading-sheet-metal-screws-cross-211921952_jpg.rf.1d69d8da0bbd84b224abc567f71a2905.jpg,11,11,11,0,0,0.8989184661345049
background-cross-recessed-sheet-metal-screws-close-up-background-cylindrical-self-threading-sheet-metal-screws-cross-211921952_jpg.rf.7579038554f2fe8d7b9ad6a7f641f0dd.jpg,11,11,11,0,0,0.8972655643116344
background-cross-recessed-sheet-metal-screws-close-up-background-cylindrical-self-threading-sheet-metal-screws-cross-211921952_jpg.rf.9435c6273771894d443e4be682170029.jpg,11,13,11,2,0,0.8034760745672079
background-many-screws-large-number-bright-short-138345827_jpg.rf.45e9d0969a33ab2a9b419f19b1e28a7d.jpg,32,34,32,2,0,0.8111283069147783
background-many-screws-large-number-bright-short-138345827_jpg.rf.7311e9d6d0c468142f0316bdfdeacc84.jpg,29,30,29,1,0,0.7719655394554138
background-many-screws-large-number-bright-short-138345827_jpg.rf.bc88537138d25423edd98f2692ef761c.jpg,33,38,33,5,0,0.7947414093895963
background-many-screws-silver-70536599_jpg.rf.0e31aa26c20769ba936adcf8336234c1.jpg,61,61,61,0,0,0.7251433593327882
background-many-screws-silver-70536599_jpg.rf.2f3eddbf83fbc897934d13388b277772.jpg,81,86,81,5,0,0.7905811906553978
background-many-screws-silver-70536599_jpg.rf.a5b75c8188596e0124fbc98a175be648.jpg,82,98,82,16,0,0.7285713708522369
background-many-silver-screws-construction-62231993_jpg.rf.46a4f65e462808994956db9da73f9dec.jpg,77,84,77,7,0,0.7660021859975088
background-many-silver-screws-construction-62231993_jpg.rf.e6d34831f374604edb7a6ae2653f4f48.jpg,49,52,49,3,0,0.7559468740454087
background-many-silver-screws-construction-62231993_jpg.rf.e7b67fc74233f477700c6e54ef582a0c.jpg,52,53,52,1,0,0.7631002720796837
background-mass-black-metal-screws-213217493_jpg.rf.b1fe78373c6c31072323c3d53ad8f35f.jpg,118,142,118,24,0,0.6348537829980044
background-mass-black-metal-screws-213217493_jpg.rf.e9cc0918cf25ef279675854b7e8f40c5.jpg,125,146,125,21,0,0.6261044097681568
background-mass-black-metal-screws-213217493_jpg.rf.f67e9271191ba549739f3a0408050d59.jpg,68,78,68,10,0,0.5805199914253675
background-pile-white-screws-screws-124012248_jpg.rf.1f053d3c6a53744ea8f1299916d2c5b8.jpg,37,37,37,0,0,0.7107147759682423
background-pile-white-screws-screws-124012248_jpg.rf.3422f58e6239113307a2acf54f0e39d1.jpg,45,51,45,6,0,0.7687417782989203
background-pile-white-screws-screws-124012248_jpg.rf.445fdefd813a02a9af8a8565df2fbfb9.jpg,38,36,36,0,2,0.7654030902518166
big-pile-screws-23662302_jpg.rf.2fff642106a273302e7c57abde82a72a.jpg,34,37,34,3,0,0.7729035358171206
big-pile-screws-23662302_jpg.rf.81401eda51201a21b16c5200dc68138a.jpg,34,38,34,4,0,0.8100408527411913
big-pile-screws-23662302_jpg.rf.e401544c5462f1a88c07ac6537a80560.jpg,24,27,24,3,0,0.7617796714659091
black-plasterboard-screws-white-background-black-plasterboard-screws-white-background-227252107_jpg.rf.3393d441a3493e6f949a77b750485a64.jpg,17,17,17,0,0,0.833317385000341
black-plasterboard-screws-white-background-black-plasterboard-screws-white-background-227252107_jpg.rf.5846cbfe5b2709cba8f7c6732ebb2b53.jpg,17,18,17,1,0,0.8023141854339175
black-plasterboard-screws-white-background-black-plasterboard-screws-white-background-227252107_jpg.rf.7cc4cf91397d7c9995e100116b7ff82f.jpg,17,21,17,4,0,0.8140311099234081
black-screws-black-screws-piled-white-background-black-screws-black-screws-piled-white-background-180655359_jpg.rf.53d956d88c0b764ef47b72bd1e88f206.jpg,19,19,19,0,0,0.8814978693660936
black-screws-black-screws-piled-white-background-black-screws-black-screws-piled-white-background-180655359_jpg.rf.a33317e95359a13e25009bb01d0651cc.jpg,22,23,22,1,0,0.8588530032531075
black-screws-black-screws-piled-white-background-black-screws-black-screws-piled-white-background-180655359_jpg.rf.dd0c6dd5c2323829f045428282ac4881.jpg,19,19,19,0,0,0.8638530185348109
black-screws-white-background-wood-metal-close-up-shot-pile-isolated-167590650_jpg.rf.304f39f93893bfc5ffff5b27ca351489.jpg,21,22,21,1,0,0.8392635529691522
black-screws-white-background-wood-metal-close-up-shot-pile-isolated-167590650_jpg.rf.7becb9d9a8b5a76c3fbdeb4bd4147ac2.jpg,17,17,17,0,0,0.8367619794957778
black-screws-white-background-wood-metal-close-up-shot-pile-isolated-167590650_jpg.rf.f719828d7b95d0682a3ef4d3e962e701.jpg,21,21,21,0,0,0.8633850358781361
bolt-pile-black-screws-isolated-white-background-bolt-pile-black-screws-isolated-white-background-174780049_jpg.rf.4a6253fee45e4a171405efaf15a14bf4.jpg,10,10,10,0,0,0.8993284404277802
bolt-pile-black-screws-isolated-white-background-bolt-pile-black-screws-isolated-white-background-174780049_jpg.rf.6dae8e2e192041bf14ba7412621b331b.jpg,10,10,10,0,0,0.9046806931495667
bolt-pile-black-screws-isolated-white-background-bolt-pile-black-screws-isolated-white-background-174780049_jpg.rf.6f01bea59569a68c8953ec5c6108a4db.jpg,10,10,10,0,0,0.8724697768688202
bolts-screws-hats-fixing-various-elements-including-computer-components-screws-fixing-computer-components-105770816_jpg.rf.0d6a3370c23cbb8c7209f958741cc16e.jpg,51,55,51,4,0,0.7396487501534549
bolts-screws-hats-fixing-various-elements-including-computer-components-screws-fixing-computer-components-105770816_jpg.rf.a05e7c68dfab158c0a66176fcda127d5.jpg,73,89,73,16,0,0.7460488961653763
bolts-screws-hats-fixing-various-elements-including-computer-components-screws-fixing-computer-components-105770816_jpg.rf.ec96d84b01db212cab252171af3fb794.jpg,50,55,50,5,0,0.7328801745718175
bunch-black-self-tapping-screws-close-up-hardware-fasteners-materials-construction-repair-greenish-yellow-bunch-209188164_jpg.rf.85f422606cdc53a8d542d3d78e29c1f0.jpg,4,4,4,0,0,0.9017330557107925
bunch-black-self-tapping-screws-close-up-hardware-fasteners-materials-construction-repair-greenish-yellow-bunch-209188164_jpg.rf.9b5936de1f236fca242cbd67fa2322c1.jpg,4,5,4,1,0,0.8146444737911225
bunch-black-self-tapping-screws-close-up-hardware-fasteners-materials-construction-repair-greenish-yellow-bunch-209188164_jpg.rf.ba3460cf3840e7212b59b572c772daf9.jpg,4,5,4,1,0,0.9099425077438354
bunch-philips-screws-close-up-pile-stainless-steel-white-background-34717946_jpg.rf.10ef1ad47defbcdc9dc43d45a4ff4001.jpg,7,8,7,1,0,0.805184118449688
bunch-philips-screws-close-up-pile-stainless-steel-white-background-34717946_jpg.rf.5e988794f30f35cc364d46487c0337c2.jpg,7,9,7,2,0,0.8265429006682502
bunch-philips-screws-close-up-pile-stainless-steel-white-background-34717946_jpg.rf.9ec21e28eff4f1dda116227fa6647c37.jpg,7,7,7,0,0,0.8835475870541164
bunch-shiny-screws-lies-chaotic-manner-fill-entire-frame-50748447_jpg.rf.37cca118b0e102ac81339cad5c63b3ef.jpg,35,39,35,4,0,0.7910267336246295
bunch-shiny-screws-lies-chaotic-manner-fill-entire-frame-50748447_jpg.rf.b084cd37bd48c6a6cd46dee63561883f.jpg,35,38,35,3,0,0.8160386399218911
bunch-shiny-screws-lies-chaotic-manner-fill-entire-frame-50748447_jpg.rf.b754c9c6693bd675a0aed7c72e1caacb.jpg,35,38,35,3,0,0.8128958948348698
bunch-torx-screws-wood-lying-pile-gray-surface-56576585_jpg.rf.8db180b2d54a77e24c74e1a2a3bf0a1a.jpg,17,17,17,0,0,0.8450654008809257
bunch-torx-screws-wood-lying-pile-gray-surface-56576585_jpg.rf.e08fdba07142ef2037d85c22f277e498.jpg,17,20,17,3,0,0.7748350441455841
bunch-torx-screws-wood-lying-pile-gray-surface-56576585_jpg.rf.e8ceaf417a59eb88457ccd2c6e22d5b4.jpg,17,19,17,2,0,0.7468704942025637
close-image-steel-tapping-screws-metal-screw-iron-screw-chrome-screw-screws-background-wood-screw-path-white-234892055_jpg.rf.482a81ad125b7ed5c5e27451c98dca24.jpg,1,1,1,0,0,0.9301748275756836
